index,name,state,mp,email,code
30,Tamluk,WB,"Shri Suvendu Adhikari","adhikari.suvendu@sansad.nic.in,",WB-30
1,"Tehri Garhwal",UT,"Smt. Mala Rajya Laxmi Shah",malarajyalaxmishah@gmail.com,UT-1
37,Tenkasi,TN,"Smt. Vasanthi M.",vasanthi.m@sansad.nic.in,TN-37
9,Tezpur,AS,"Shri Ram Prasad Sarmah","rp.sarmah@sansad.nic.in, ramsarmah@gmail.com",AS-9
25,Thane,MH,"Shri Rajan Baburao Vichare","rb.vichare@sansad.nic.in, rajanbvichare@gmail.com",MH-25
30,Thanjavur,TN,"Shri Parasuraman K.",parasuraman.k@sansad.nic.in,TN-30
33,Theni,TN,"Shri R. Parthipan",r.parthipan@sansad.nic.in,TN-33
20,Thiruvananthapuram,KE,"Dr. Shashi Tharoor","office@tharoor.in, shashi.tharoor@nic.in",KE-20
36,Thoothukkudi,TN,"Advocate Jayasingh Thiyagaraj Natterjee",jjtnatterjee@gmail.com,TN-36
10,Thrissur,KE,"Shri C. N. Jayadevan","cn.jayadevan@sansad.nic.in, cnthrissurmp@gmail.com",KE-10
6,Tikamgarh,MP,"Dr. Virendra Kumar",vkumar@sansad.nic.in,MP-6
24,Tiruchirappalli,TN,"Shri P. Kumar","p.kumar@sansad.nic.in, trichy.mp@gmail.com",TN-24
38,Tirunelveli,TN,"Shri K.R.P. Prabakaran",krp.prabakaran@sansad.nic.in,TN-38
40,Tirupati,AP,"Dr. Vara Prasadarao Velagapalli",vvpr53@yahoo.com,AP-40
18,Tiruppur,TN,"Smt. V. Sathyabama","v.sathyabama@sansad.nic.in, sathyabama.vasu@gmail.com",TN-18
1,Tiruvallur,TN,"Dr. Ponnusamy Venugopal",p.venugopal@sansad.nic.in,TN-1
11,Tiruvannamalai,TN,"Smt. R. Vanaroja","r.vanaroja@sansad.nic.in,",TN-11
12,"Tonk-Sawai Madhopur",RJ,"Shri Sukhbir Singh Jaunpuria",sukhbirs.jaunapuria@sansad.nic.in,RJ-12
2,"Tripura East",TR,"Shri Jitendra Chaudhury","jitendra.chaudhury@sansad.nic.in, jchaudhury2008@gmail.com",TR-2
1,"Tripura West",TR,"Shri Sankar Prasad Datta",sankar.datta@sansad.nic.in,TR-1
19,Tumkur,KA,"Shri S.P. Muddahanumegowda",spmuddahanumegowda@gmail.com,KA-19
2,Tura,ME,"Shri Purno Agitok Sangma",pasangma@sansad.nic.in,ME-2
19,Udaipur,RJ,"Shri Arjunlal Meena",arjunlal.meena@sansad.nic.in,RJ-19
5,Udhampur,JK,"Dr. Jitendra Singh",drjitendras@gmail.com,JK-5
15,"Udupi Chikmagalur",KA,"Km. Shobha Karandlaje","shobha.karandlaje@sansad.nic.in, mpudupichikmagaluru@gmail.com",KA-15
22,Ujiarpur,BI,"Shri Nityanand Rai","nityanand.rai@sansad.nic.in, nityanandrai85@gmail.com",BI-22
22,Ujjain,MP,"Prof. Chintamani Malviya",drcmmalviya@gmail.com,MP-22
26,Uluberia,WB,"Shri Sultan Ahmed",sultan.ahmed@nic.in,WB-26
33,Unnao,UP,"Dr. Sakshi Ji Swami Maharaj","sakshi@sansad.nic.in, swamijisakshijimaharaj@gmail.com",UP-33
12,"Uttara Kannada",KA,"Shri Anantkumar Hegde","anantkh@sansad.nic.in, mpcanara@gmail.com, anantkumarhegde@gmail.com",KA-12
3,Vadakara,KE,"Shri Ramachandran Mullappally","Mullappally.r@sansad.nic.in, mullappally.ramachandran@gmail.com",KE-3
20,Vadodara,GJ,"Smt. Ranjanben Dhananjay Bhatt",ranjanbhatt135@gmail.com,GJ-20
16,Vaishali,BI,"Shri Rama Kishore Singh","ramakishore.singh@sansad.nic.in, rksvaishali@gmail.com",BI-16
1,"Valmiki Nagar",BI,"Shri Satish Chandra Dubey",satishchandra.dubey@sansad.nic.in,BI-1
26,Valsad,GJ,"Dr. K. C. Patel",kc.patel@sansad.nic.in,GJ-26
77,Varanasi,UP,"Shri Narendra Modi",appt.pmo@gov.in,UP-77
8,Vellore,TN,"Shri B. Senguttuvan",senguttuvanb.adv@gmail.com,TN-8
18,Vidisha,MP,"Smt. Sushma Swaraj",,MP-18
29,Vijayawada,AP,"Shri Srinivas Kesineni",kesineni.srinivas@sansad.nic.in,AP-29
13,Viluppuram,TN,"Shri S. Rajendran",rajendran.s19@sansad.nic.in,TN-13
34,Virudhunagar,TN,"Shri T. Radhakrishnan",mpvirudhunagar@gmail.com,TN-34
21,Visakhapatnam,AP,"Dr. Hari Babu Kambhampati","k.haribabu@gmail.com, k.haribabu@sansad.nic.in",AP-21
20,Vizianagaram,AP,"Shri Ashok Gajapathi Raju Pusapati","agajapathiraju.p@sansad.nic.in, hm.moca@gov.in",AP-20
15,Warangal,TG,"Shri Dayakar Pasunoori","pasunooridayakar@gmail.com,
wglmpdayakar@gmail.com",TG-15
8,Wardha,MH,"Shri Ramdas Chandrabhanji Tadas","rc.tadas@sansad.nic.in, rctadas@gmail.com",MH-8
4,Wayanad,KE,"Shri M. I. Shanavas","mi.shanavas@sansad.nic.in",KE-4
6,"West Delhi",DL,"Shri Parvesh Sahib Singh","parvesh.sahib@sansad.nic.in, parveshsahibsingh@gmail.com",DL-6
14,Yavatmal-Washim,MH,"Ms. Bhavana Pundlikrao Gawali (Patil)",gb.pundlikrao@sansad.nic.in,MH-14
5,Zahirabad,TG,"Shri Bheemrao Baswanthrao Patil",bbpatil7777@gmail.com,TG-5
